Project,Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-In,Fan-Out,DIT,File
backend,backend.auth.password_reset,service,PasswordResetService,69,14,5,4,1,1,0.2,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\service.py
backend,backend.auth.password_reset,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\__init__.py
backend,backend.auth.password_reset.tests,test_password_reset,,56,3,3,3,3,3,1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\tests\test_password_reset.py
backend,backend.auth.password_reset.tests,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\password_reset\tests\__init__.py
backend,backend.auth.register,router,,5,1,1,1,2,2,0,0,1,0,C:\Users\Adity\Downloads\group02\backend\auth\register\router.py
backend,backend.auth.register,schemas,,12,4,1,1,1,1,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\register\schemas.py
backend,backend.auth.register,schemas,UserCreate,3,1,1,1,0,0,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\register\schemas.py
backend,backend.auth.register,schemas,UserResponse,2,0,0,0,1,1,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\register\schemas.py
backend,backend.auth.register,schemas,RegisterRequest,3,1,1,1,0,0,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\register\schemas.py
backend,backend.auth.register,service,,16,3,0,0,1,1,-1,2,1,0,C:\Users\Adity\Downloads\group02\backend\auth\register\service.py
backend,backend.auth.register,service,RegisterService,16,3,2,1,1,1,0,1,1,0,C:\Users\Adity\Downloads\group02\backend\auth\register\service.py
backend,backend.auth.register,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\register\__init__.py
backend,backend.auth.register.tests,test_register,,23,5,5,5,5,5,1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\register\tests\test_register.py
backend,backend.auth.register.tests,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\register\tests\__init__.py
backend,backend.auth.repositories,token_repository,,28,4,0,0,1,1,-1,1,1,0,C:\Users\Adity\Downloads\group02\backend\auth\repositories\token_repository.py
backend,backend.auth.repositories,token_repository,TokenRepository,28,4,4,3,1,1,0,1,1,0,C:\Users\Adity\Downloads\group02\backend\auth\repositories\token_repository.py
backend,backend.auth.repositories,user_repository,,42,7,0,0,1,1,-1,4,1,0,C:\Users\Adity\Downloads\group02\backend\auth\repositories\user_repository.py
backend,backend.auth.repositories,user_repository,UserRepository,42,7,5,4,1,1,0,4,1,0,C:\Users\Adity\Downloads\group02\backend\auth\repositories\user_repository.py
backend,backend.auth.repositories,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\repositories\__init__.py
backend,backend.auth.routers,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\routers\__init__.py
backend,backend.auth.schemas,password_reset_schemas,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\schemas\password_reset_schemas.py
backend,backend.auth.schemas,token_schemas,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\schemas\token_schemas.py
backend,backend.auth.schemas,user_schemas,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\schemas\user_schemas.py
backend,backend.auth.schemas,verification_schemas,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\auth\schemas\verification_schemas.py
